country,yearQ,year,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker.x,fx_volatility.x,ticker.y,fx_volatility.y
Brazil,2010Q4,2010,4,2313.87275,62.97085270227002,0.5726566304698889,789.2495,558.7925,2039.4882499999999,2039.4882499999999,192.26925,45.792,36.32325,274.3845,223,7545,2802.32,6491,5.039,5.909,8.5,-3.826,-3.579,EM,8.928640371201949,7.938202924516056,8.778171881033469,22.9312166527622,22.49457831325302,26.361271485943774,Units,10.75,11286.243016245748,9.331339830837202,2010,YES,YES,NO,NO,NO,4,0.056011478135079694,BRL,0.056011478135079694
Brazil,2011Q4,2011,4,2545.257,60.516202040731,0.5830739598187265,960.99425,557.925,2251.639,2251.639,203.23475,55.45675,34.92675,293.618,223,3986,2974.902,3080,6.636,6.503,7.8,-2.467,-2.918,EM,8.29054350077274,7.997966376260687,8.03268487596762,24.64483555089,24.20257936507937,30.077896825396813,Units,11,13245.612499544754,9.491421644468195,2011,YES,YES,NO,NO,NO,4,0.09327203144335042,BRL,0.09327203144335042
Brazil,2012Q4,2012,4,2834.216,60.9661902278475,0.5010914601095733,1011.52,591.015,2475.465,2475.465,247.95825,64.67525,46.1175,358.751,223,1928,3090.412,1048,5.404,5.839,7.4,-2.519,-3.4,EM,7.564238475170491,8.036059694337025,6.954638864880987,21.1685914800248,17.815490196078425,24.584285490196052,Units,7.25,12370.024200714892,9.42303142178841,2012,YES,YES,NO,NO,NO,4,0.12371583962358873,BRL,0.12371583962358873
Brazil,2013Q4,2013,4,3014.694,58.77864899850118,0.4535159305891444,1033.90525,606.165,2574.90125,2574.90125,309.976,64.274,65.543,439.79274999999996,223,3008,3239.228,2138,6.204,5.911,7.2,-2.955,-3.228,EM,8.00903068506973,8.083090308790249,7.6676260915849905,21.958795835411,14.22903100775193,18.533330620155034,Units,10,12300.32488227575,9.417380954204837,2013,YES,YES,NO,NO,NO,4,0.14101661318101674,BRL,0.14101661318101674
Brazil,2014Q4,2014,4,3332.7075,59.18802699461291,0.4202117835619369,1089.963,693.153,2815.2309999999998,2815.2309999999998,362.2775,70.735,84.46375,517.4765,223,0.505,3315.854,-0.349,6.329,6.408,6.783,-6.021,-4.13,EM,-0.6831968497067772,8.10647048633534,NA,22.2918068284596,14.131210937500002,18.281921875000005,Units,11.75,12112.588205969725,9.40200053839911,2014,YES,YES,NO,NO,NO,4,0.1348887939455887,BRL,0.1348887939455887
Brazil,2015Q4,2015,4,4016.5805,67.74215115694629,0.28272091458252524,1337.02,761.931,3312.948,3312.948,481.27875,88.381,133.97325,703.6324999999999,223,-3551,3231.412,-4384,9.03,10.673,8.283,-10.254,-3.026,EM,NA,8.08067447239652,NA,20.7688374843238,16.721011673151743,23.99266614785993,Units,14.25,8814.000986812613,9.084096757361605,2015,YES,YES,YES,NO,NO,4,0.43080704836163786,BRL,0.43080704836163786
Brazil,2016Q4,2016,4,4577.9915,74.38469444833623,0.3000741700656912,1711.17375,805.22525,3920.5225,3920.5225,444.46975,91.2705,121.72874999999999,657.469,223,-3285,3157.627,-4077,8.74,6.288,11.258,-8.994,-1.349,EM,NA,8.057576075110154,NA,22.1950298757405,15.863488372093013,23.590334883720946,Units,13.75,8710.096689541213,9.072238170765555,2016,YES,YES,YES,YES,NO,4,0.28055303197080333,BRL,0.28055303197080333
Brazil,2017Q4,2017,4,5242.3475,81.00457556420992,0.30901979366869625,2103.1385,865.105,4630.68275,4630.68275,385.241,108.188,118.2355,611.66475,223,1314,3259.359,0.506,3.446,2.947,12.767,-7.86,-7.28e-4,EM,7.1808311990445555,8.089285829260502,-0.6812186096946715,24.9622611349703,11.090891472868222,14.76677790697675,Units,7,9925.386237700412,9.202851020435519,2017,YES,YES,YES,YES,YES,4,0.0708469224483599,BRL,0.0708469224483599
Brazil,2018Q4,2018,4,5788.1525,85.50038132138508,0.2670541052090802,2403.1305,953.5285,5129.14325,5129.14325,416.995,116.21724999999999,125.797,659.00925,223,1312,3382.591,0.491,3.665,3.745,12.258,-7.166,-2.204,EM,7.179307969504034,8.126397262861182,-0.7113111511876165,24.4969798393443,16.569101562499988,16.331809375,Units,6.5,9001.234248634986,9.10511698565292,2018,YES,YES,YES,YES,YES,4,0.2919964771416429,BRL,0.2919964771416429
Brazil,2019Q4,2019,4,6198.00475,87.23171406238194,0.2514881336701547,2589.3137500000003,1055.7715,5483.7605,5483.7605,450.66125,129.84725,133.736,714.24425,223,1133,3480.546,0.338,3.733,4.306,11.925,-6.017,-2.69,EM,7.0326242610280065,8.154944457013267,-1.0847093834991182,NA,15.383007812499997,15.049324218750007,Units,4.5,8717.186278108185,9.07305179030352,2019,YES,YES,YES,YES,YES,4,0.16088690945374445,BRL,0.16088690945374445
